Locus_tags,TSS_ID,Gene Symbols,Max_Norm_Reads,DK_vs_CT_log2FoldChange,DK_vs_CT_padj,HL_vs_CT_log2FoldChange,HL_vs_CT_padj,Product
M744_RS01365,gTSS-2534721488.98 ,0.52,4.48E-02,-0.77,3.79E-03,-0.19,6.05E-01,
M744_RS01370,gTSS+253573,digD,25398.16,2.27,1.58E-28,0.16,4.93E-01,hypothetical protein
M744_RS01375,gTSS+253942,purB,16305.12,-0.65,2.03E-03,1.83,2.74E-18,adenylosuccinate lyase
M744_RS01385,gTSS-2565963941.02 ,-0.73,4.59E-04,0.21,3.61E-01,-0.57,2.20E-02,
M744_RS01390,gTSS+25628917827.84 ,3.68,5.12E-64,-0.44,6.66E-02,0.07,8.59E-01,
M744_RS01395,gTSS+257069,ksgA,645.86,-3.52,2.25E-11,1.89,4.67E-09,ribosomal RNA small subunit methyltransferase A
M744_RS01400,gTSS+257901,"ispE, ipk",707.75,-0.69,3.22E-02,1.55,1.67E-07,4-diphosphocytidyl-2C-methyl-D-erythritol kinase
M744_RS01420,gTSS-2643522788.77 ,2.91,1.41E-45,-0.24,3.13E-01,-0.17,5.78E-01,
M744_RS01425,gTSS-2645453906.98 ,1.13,3.08E-09,1.21,4.79E-10,-0.44,6.46E-02,
M744_RS01435,gTSS-2667491045.65 ,-1.85,1.81E-10,0.7,1.13E-02,0.4,2.55E-01,
M744_RS01445,gTSS-268738,ssb,1727.54,-0.04,8.73E-01,-0.43,6.57E-02,single-stranded DNA-binding protein
M744_RS01450,gTSS+2688222039.39 ,-3.84,2.25E-24,2.02,5.08E-14,0.59,7.31E-02,
M744_RS01465,gTSS-273511,ftsH,6083.86,-3.41,1.73E-37,-0.91,8.13E-04,cell division protein FtsH
M744_RS01475,gTSS-276981,"met3, sopT",13544.01,-5.13,2.01E-73,1.85,6.72E-14,sulfate adenylyltransferase
M744_RS01480,gTSS-278146,psbO,9485.9,-3.72,2.07E-56,-0.35,1.65E-01,photosystem II manganese-stabilizing polypeptide
M744_RS01485,gTSS+2782251245.79 ,-2.36,2.03E-20,0.52,3.20E-02,-0.91,5.85E-04,
M744_RS01495,gTSS-28004641189.32 ,3.88,4.89E-82,-0.18,4.39E-01,-0.13,6.67E-01,
M744_RS01505,gTSS-281453,pyrD,507.8,0.84,1.38E-03,-0.28,3.34E-01,dihydroorotate dehydrogenase (quinone)
M744_RS01510,gTSS-284243,secA,2849.95,0.36,9.21E-02,0.73,7.86E-04,protein translocase subunit SecA
M744_RS01515,gTSS+284330,glmU,557.01,-5.12,3.36E-08,2.12,3.62E-09,bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
M744_RS01525,gTSS-286978518.78 ,1.06,2.12E-05,-0.01,9.87E-01,0.27,4.26E-01,
M744_RS01530,gTSS-287304,ccmK4,3791.28,-2.85,9.13E-31,1.66,5.76E-14,carbon dioxide-concentrating protein CcmK
M744_RS01535,gTSS-287675,ccmK3,14643.06,-2.21,5.20E-18,1.81,1.26E-12,carbon dioxide-concentrating protein CcmK
M744_RS01540,gTSS+2876931796.23 ,2.69,4.85E-27,0.62,2.11E-02,-0.08,8.54E-01,
M744_RS01545,gTSS+288833,glyA,29353,0.76,8.22E-05,2.8,4.21E-49,serine hydroxymethyltransferase
M744_RS01560,gTSS-294252,hoxF,595.63,0.66,9.24E-03,-1.59,2.99E-09,NADH dehydrogenase
M744_RS01610,gTSS+3023953057.77 ,1.07,3.45E-07,0.43,5.53E-02,-0.36,1.82E-01,
M744_RS01620,gTSS-304955,gidB,58815.67,4.61,9.94E-97,-4.19,7.12E-67,ribosomal RNA small subunit methyltransferase G
M744_RS01625,gTSS+305089,dnaJ,3138.44,-0.75,5.87E-04,0.54,1.62E-02,molecular chaperone DnaJ
M744_RS01635,gTSS-306862,uppS,23637.79,-1.07,1.93E-07,-0.03,9.05E-01,UDP pyrophosphate synthase
M744_RS01640,gTSS-307883538.05 ,-2.01,1.12E-06,2.1,1.59E-11,0.1,8.52E-01,
M744_RS01645,gTSS-309151,lysA,3434.29,2.13,5.77E-23,0.55,1.61E-02,diaminopimelate decarboxylase
M744_RS01650,gTSS+309143,rimI,1593.18,-0.94,1.50E-04,1.42,1.29E-09,ribosomal-protein-alanine N-acetyltransferase RimI
M744_RS01655,gTSS+309880,clpC,58019.37,1.42,8.16E-14,0,9.84E-01,ATP-dependent Clp protease ATP-binding subunit ClpC
M744_RS01660,gTSS-3129012821.91 ,-2.78,1.08E-16,-0.3,4.06E-01,0.03,9.53E-01,
M744_RS01675,gTSS-315458,ama,923.57,1.31,5.26E-08,0.43,9.33E-02,peptidase M20
M744_RS01680,gTSS+3155341527.16 ,1.82,2.56E-15,0.36,1.47E-01,0.3,3.46E-01,
M744_RS01685,gTSS-319571,gyrA,22920.13,3.39,5.91E-56,1.34,1.77E-09,DNA gyrase subunit A
M744_RS01695,gTSS+319690,cp12,301072.35,6.9,9.85E-98,0,9.97E-01,hypothetical protein
M744_RS01710,gTSS-322567,bgtA,1353.6,-0.56,1.99E-02,0.37,1.38E-01,arginine ABC transporter ATP-binding protein
M744_RS01720,gTSS-324867,bgtB,562.66,-2.55,8.37E-12,1.36,1.67E-06,ABC permease for basic amino acids and glutamine
M744_RS01735,gTSS+326961,glgP,1034.81,1.58,7.11E-11,-0.76,3.57E-03,glycogen phosphorylase
M744_RS01740,gTSS+329782,hliC,5188.81,-3.5,9.74E-06,2.35,3.42E-03,high light inducible protein
M744_RS01745,gTSS+3300601332.67 ,-1.13,3.12E-06,0.37,1.39E-01,-0.54,6.46E-02,
M744_RS01755,gTSS-3328741229.00 ,2.24,6.55E-17,0.99,4.38E-04,-0.59,8.82E-02,
M744_RS01760,gTSS+332971,apcD,22792.88,-1.91,3.77E-20,-1.17,3.98E-08,allophycocyanin alpha-B chain
M744_RS01780,gTSS-33635527571.30 ,0.8,7.33E-04,-3.77,1.10E-57,0.99,2.19E-04,
M744_RS01785,gTSS-3372451175.92 ,-0.35,1.68E-01,0.72,3.59E-03,0.62,3.37E-02,
M744_RS01795,gTSS+3382581459.89 ,2.64,3.39E-17,0.66,5.11E-02,-1.35,4.27E-04,
M744_RS01800,gTSS+339032,aroA,1430.03,-2.64,1.51E-12,2.48,5.51E-18,3-phosphoshikimate 1-carboxyvinyltransferase
M744_RS01810,gTSS+3409961292.63 ,1.85,3.24E-07,-1.9,9.11E-07,0.41,4.21E-01,
M744_RS01820,gTSS-3431121934.51 ,-1.1,2.78E-07,0.42,5.96E-02,0.45,8.35E-02,
M744_RS01835,gTSS-344322,psbH,36504.33,0.3,1.08E-01,1.03,2.79E-08,photosystem II reaction center protein H
M744_RS01840,gTSS+344332,psbN,12200.89,1.13,1.66E-08,0.47,2.64E-02,photosystem II reaction center protein PsbN
M744_RS01860,gTSS+346879,minD,654.96,-1.62,1.27E-08,0.57,3.50E-02,"CDP-3, 6-dideoxy-D-glycero-L-glycero-4-hexulose-4-reductase"
M744_RS01865,gTSS+347680765.82 ,2.49,2.64E-10,-0.68,1.21E-01,-1.76,2.72E-04,
M744_RS01880,gTSS-34926111585.48 ,0.84,5.50E-03,3.34,7.34E-29,-1.52,8.52E-06,
M744_RS01885,gTSS+349129983.70 ,-0.2,4.43E-01,0.66,1.04E-02,0.01,9.77E-01,
M744_RS01890,gTSS+35050511984.57 ,2.4,1.07E-24,-2.18,3.28E-19,0.96,4.14E-04,
M744_RS01895,gTSS-3519055250.81 ,0.03,9.35E-01,-2.49,3.85E-15,0.42,3.18E-01,
M744_RS01900,gTSS+3516561378.08 ,1.62,6.93E-12,-0.35,1.73E-01,-0.04,9.19E-01,
M744_RS01905,gTSS-353885,aroC,2253.01,-0.57,2.51E-02,2.61,4.36E-30,chorismate synthase
M744_RS01910,gTSS-355466,cobQ,675.19,-1.66,1.53E-09,0.85,5.70E-04,cobyric acid synthase CobQ
M744_RS01915,gTSS-3558643508.78 ,0.94,2.45E-06,1.47,2.43E-13,-0.49,4.90E-02,
M744_RS01920,gTSS+355887985.38 ,1.52,1.17E-11,0.88,1.47E-04,-0.27,3.83E-01,
M744_RS01925,gTSS-3595253354.30 ,1.14,1.77E-08,-0.9,1.92E-05,0.08,8.11E-01,
M744_RS01940,gTSS-3621922969.93 ,1.16,1.85E-07,-0.54,2.34E-02,0.24,4.37E-01,
M744_RS01945,gTSS+3622663452.47 ,2.36,7.90E-28,0.7,2.19E-03,-0.47,9.59E-02,
M744_RS01955,gTSS+364230,ccoN,1057.55,-4.05,4.13E-32,-1.32,1.43E-06,cb-type cytochrome C oxidase subunit I
M744_RS01990,gTSS-372757198820.95 ,6.35,9.28E-166,-1.67,4.90E-12,0.98,2.88E-04,
M744_RS01995,gTSS+372822,polA,9922.42,-0.6,9.02E-03,2.11,4.24E-21,DNA polymerase I
M744_RS02000,gTSS+3758613152.50 ,4.99,6.04E-98,-2.32,6.56E-11,0.46,1.56E-01,
M744_RS02005,gTSS+376006,ycf6,1597.51,2.89,6.74E-28,-1.25,2.59E-05,hypothetical protein
M744_RS02010,gTSS-3778958811.39 ,-2.13,1.05E-23,1.72,7.57E-17,-0.81,6.89E-04,
M744_RS02020,gTSS+379088,guaA,20896.65,1.22,1.02E-09,0.51,1.59E-02,GMP synthase (glutamine-hydrolyzing)
M744_RS02025,gTSS-3826774853.40 ,-4.73,1.47E-06,3.02,1.54E-03,-1.53,2.04E-01,
M744_RS02030,gTSS+3828582435.22 ,-0.46,5.02E-02,0.45,5.65E-02,0.15,6.53E-01,
M744_RS02040,gTSS-385735,ggt,1017.2,-1.2,1.26E-05,1.08,3.38E-05,gamma-glutamyltranspeptidase
