Locus_tag,Chrs,Start,End,Strand,ID,Type,Old_locus_tag,Product,ProAccNo
M744_RS00155,CP006471,29119,29832,+,gene30,protein_coding,M744_00160,DNA-binding response regulator,WP_011243277.1
M744_RS00160,CP006471,29829,30548,-,gene31,protein_coding,M744_00165,M48 family peptidase,WP_011243278.1
M744_RS00165,CP006471,30653,31744,-,gene32,protein_coding,M744_00170,redox-regulated ATPase YchF,WP_011243279.1
M744_RS00170,CP006471,31804,33156,+,gene33,protein_coding,M744_00175,efflux RND transporter periplasmic adaptor subunit,WP_011377621.1
M744_RS00175,CP006471,33153,34271,-,gene34,protein_coding,M744_00180,UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing),WP_011243281.1
M744_RS00180,CP006471,34397,34768,-,gene35,protein_coding,M744_00185,hypothetical protein,WP_011377620.1
M744_RS00185,CP006471,35301,35684,-,gene36,protein_coding,M744_00195,hypothetical protein,WP_011377619.1
M744_RS00190,CP006471,35693,36454,-,gene37,protein_coding,M744_00200,DUF475 domain-containing protein,WP_011377618.1
M744_RS00195,CP006471,36555,37715,+,gene38,protein_coding,M744_00205,hypothetical protein,WP_011243285.1
M744_RS00200,CP006471,37772,38281,+,gene39,protein_coding,M744_00210,hypothetical protein,WP_011243286.1
M744_RS00205,CP006471,38315,40462,-,gene40,protein_coding,M744_00215,sodium:proton antiporter,WP_011243287.1
M744_RS00210,CP006471,40503,41195,-,gene41,protein_coding,M744_00220,hypothetical protein,WP_011243288.1
M744_RS00215,CP006471,41177,41446,-,gene42,protein_coding,M744_00225,hypothetical protein,WP_011377617.1
M744_RS00220,CP006471,41525,42088,+,gene43,protein_coding,M744_00230,NADPH-dependent oxidoreductase,WP_011377616.1
M744_RS00225,CP006471,42085,42978,-,gene44,protein_coding,M744_00235,lipoyl synthase,WP_011377615.1
M744_RS00230,CP006471,43047,43262,+,gene45,protein_coding,,hypothetical protein,WP_039755413.1
M744_RS00235,CP006471,43276,43506,-,gene46,protein_coding,M744_00245,hypothetical protein,WP_011243292.1
M744_RS00240,CP006471,43510,43971,-,gene47,protein_coding,M744_00250,PIN domain-containing protein,WP_011243293.1
M744_RS00245,CP006471,43985,44734,-,gene48,protein_coding,M744_00255,CPBP family intramembrane metalloprotease,WP_011243294.1
M744_RS00250,CP006471,44830,46836,-,gene49,protein_coding,M744_00260,transketolase,WP_011243295.1
M744_RS00255,CP006471,46983,48236,-,gene50,protein_coding,M744_00265,beta-ketoacyl-[acyl-carrier-protein] synthase II,WP_011243296.1
M744_RS00260,CP006471,48304,48546,-,gene51,protein_coding,M744_00270,acyl carrier protein,WP_011243297.1
M744_RS00265,CP006471,49005,49250,+,gene52,protein_coding,M744_00275,photosystem I iron-sulfur center protein PsaC,WP_011243298.1
M744_RS00270,CP006471,49397,51322,+,gene53,protein_coding,M744_00280,glutamine--fructose-6-phosphate transaminase (isomerizing),WP_011243299.1
M744_RS00275,CP006471,51338,51574,+,gene54,protein_coding,M744_00285,DUF433 domain-containing protein,WP_011243300.1
M744_RS00280,CP006471,51571,51924,+,gene55,protein_coding,M744_00290,hypothetical protein,WP_011243301.1
M744_RS00285,CP006471,52162,53025,-,gene56,protein_coding,M744_00300,hypothetical protein,WP_011377614.1
M744_RS00290,CP006471,53050,54003,-,gene57,protein_coding,M744_00305,tRNA epoxyqueuosine(34) reductase QueG,WP_011377613.1
M744_RS00295,CP006471,54007,54795,-,gene58,protein_coding,M744_00310,6-phosphogluconolactonase,WP_011243304.1
M744_RS00300,CP006471,54760,55749,+,gene59,protein_coding,M744_00315,lipopolysaccharide biosynthesis proteins LPS,WP_011377612.1
M744_RS00305,CP006471,56104,56940,+,gene60,protein_coding,M744_00320,hypothetical protein,WP_011377611.1
M744_RS00310,CP006471,57045,57926,-,gene61,protein_coding,M744_00325,sugar ABC transporter permease,WP_011377610.1
M744_RS00315,CP006471,58006,59112,+,gene62,protein_coding,M744_00330,3-dehydroquinate synthase,WP_011243308.1
M744_RS00320,CP006471,59136,59543,+,gene63,protein_coding,M744_00335,hypothetical protein,WP_011377609.1
M744_RS00325,CP006471,59635,60024,+,gene64,protein_coding,M744_00340,MAPEG family protein,WP_011243310.1
M744_RS00330,CP006471,60026,60397,-,gene65,protein_coding,M744_00345,hypothetical protein,WP_011377608.1
M744_RS00335,CP006471,60916,61503,-,gene66,protein_coding,M744_00355,pentapeptide repeat-containing protein,WP_011243311.1
M744_RS00340,CP006471,61509,62150,-,gene67,protein_coding,M744_00360,BMC domain-containing protein,WP_011243312.1
M744_RS00345,CP006471,62200,62718,-,gene68,protein_coding,M744_00365,hypothetical protein,WP_011377607.1
M744_RS00350,CP006471,62782,63945,-,gene69,protein_coding,M744_00370,AI-2E family transporter,WP_011243314.1
M744_RS00355,CP006471,64005,66332,+,gene70,protein_coding,M744_00375,single-stranded-DNA-specific exonuclease RecJ,WP_011243315.1
M744_RS00360,CP006471,66454,67776,+,gene71,protein_coding,M744_00380,peptidase S41,WP_011243316.1
M744_RS00365,CP006471,67773,68195,+,gene72,protein_coding,M744_00385,DUF309 domain-containing protein,WP_011377606.1
M744_RS00370,CP006471,68233,68655,+,gene73,protein_coding,M744_00390,hypothetical protein,WP_011377605.1
M744_RS00375,CP006471,68709,69437,+,gene74,protein_coding,M744_00395,LPS export ABC transporter ATP-binding protein,WP_011243319.1
M744_RS00380,CP006471,69530,70714,+,gene75,protein_coding,M744_00400,YjgP/YjgQ family permease,WP_011243320.1
M744_RS00385,CP006471,70759,71736,+,gene76,protein_coding,M744_00405,cytochrome c biogenesis protein CcsA,WP_011243321.1
M744_RS00390,CP006471,71758,72408,+,gene77,protein_coding,M744_00410,hydrolase,WP_011243322.1
M744_RS00395,CP006471,72405,72878,-,gene78,protein_coding,M744_00415,hypothetical protein,WP_011377603.1
M744_RS00400,CP006471,72917,74047,-,gene79,protein_coding,M744_00420,dehydrogenase,WP_011243324.1
M744_RS00405,CP006471,74054,74602,-,gene80,protein_coding,M744_00425,ribosome-recycling factor,WP_011243325.1
M744_RS00410,CP006471,74589,75317,-,gene81,protein_coding,M744_00430,UMP kinase,WP_071818109.1
M744_RS00415,CP006471,75471,76508,+,gene82,protein_coding,M744_00435,fructose 1%2C6-bisphosphatase,WP_011243327.1
M744_RS00420,CP006471,76640,77956,+,gene83,protein_coding,M744_00440,glutamyl-tRNA reductase,WP_011243328.1
M744_RS00425,CP006471,77956,78264,+,gene84,protein_coding,M744_00445,TIGR03792 family protein,WP_011243329.1
M744_RS00430,CP006471,78264,78830,+,gene85,protein_coding,M744_00450,N-acetyltransferase,WP_011243330.1
M744_RS00435,CP006471,78855,79505,+,gene86,protein_coding,M744_00455,NAD(P)-dependent oxidoreductase,WP_011243331.1
M744_RS00440,CP006471,79515,79868,+,gene87,protein_coding,M744_00460,hypothetical protein,WP_011243332.1
M744_RS00445,CP006471,79968,80963,+,gene88,protein_coding,M744_00465,hydroxyneurosporene-O-methyltransferase,WP_011377602.1
M744_RS00450,CP006471,81240,83753,-,gene89,protein_coding,M744_00470,mannose-1-phosphate guanylyltransferase,WP_011243334.1
M744_RS00455,CP006471,84015,84704,+,gene90,protein_coding,M744_00480,class I SAM-dependent methyltransferase,WP_011243336.1
M744_RS00460,CP006471,84821,85357,+,gene91,protein_coding,,DUF2384 domain-containing protein,WP_011377601.1
M744_RS00465,CP006471,85354,85707,+,gene92,protein_coding,M744_00490,RES domain-containing protein,WP_011243338.1
M744_RS00470,CP006471,85887,87371,-,gene93,protein_coding,M744_00495,polyphosphate:AMP phosphotransferase,WP_011377600.1
M744_RS00475,CP006471,87514,88461,+,gene94,protein_coding,M744_00500,bifunctional riboflavin kinase/FAD synthetase,WP_011243340.1
M744_RS00485,CP006471,88898,90958,-,gene95,protein_coding,M744_00510,diguanylate cyclase,WP_039755417.1
M744_RS00490,CP006471,91294,92673,+,gene96,protein_coding,M744_00515,aldehyde dehydrogenase family protein,WP_011243342.1
M744_RS00495,CP006471,92694,94022,-,gene97,protein_coding,M744_00520,dihydroorotase,WP_011243343.1
M744_RS00500,CP006471,94166,94828,+,gene98,protein_coding,M744_00525,signal peptidase I,WP_011243344.1
M744_RS00505,CP006471,94784,96019,-,gene99,protein_coding,M744_00530,dihydroorotase,WP_011243345.1
M744_RS00510,CP006471,96026,97363,-,gene100,protein_coding,M744_00535,histidine phosphatase family protein,WP_011377597.1
M744_RS00515,CP006471,97464,98906,+,gene101,protein_coding,M744_00540,CPBP family intramembrane metalloprotease domain-containing protein,WP_011377596.1
M744_RS00520,CP006471,99119,99562,+,gene102,protein_coding,M744_00545,hypothetical protein,WP_011243348.1
M744_RS00525,CP006471,99565,101334,+,gene103,protein_coding,M744_00550,penicillin-binding protein 2,WP_011243349.1
M744_RS00530,CP006471,101510,102625,-,gene104,protein_coding,M744_00555,peptidase,WP_011377595.1
M744_RS00535,CP006471,102704,104437,-,gene105,protein_coding,M744_00560,ATPase,WP_011377594.1
M744_RS00540,CP006471,104589,106403,+,gene106,protein_coding,M744_00565,elongation factor 4,WP_011377593.1
M744_RS00545,CP006471,106403,107014,+,gene107,protein_coding,M744_00570,signal peptidase I,WP_011243353.1
M744_RS00550,CP006471,107045,107344,+,gene108,protein_coding,M744_00575,YggT family protein,WP_011243354.1
M744_RS00555,CP006471,107376,107786,-,gene109,protein_coding,,ATP-dependent Clp protease ClpS,WP_011377592.1
protein_coding,CP006471,107785,107889,+,gene110,petN,M744_RS00560,cytochrome b6-f complex subunit 8,WP_011243356.1
M744_RS00565,CP006471,108136,109242,-,gene111,protein_coding,M744_00595,alkene reductase,WP_011377589.1
M744_RS00570,CP006471,109319,109543,-,gene112,protein_coding,M744_00600,exodeoxyribonuclease 7 small subunit,WP_011243358.1
M744_RS00575,CP006471,109626,110456,-,gene113,protein_coding,M744_00605,carbohydrate ABC transporter permease,WP_011243359.1
M744_RS00580,CP006471,110594,111127,-,gene114,protein_coding,M744_00610,hypothetical protein,WP_011377588.1
M744_RS00585,CP006471,111196,111462,+,gene115,protein_coding,M744_00615,hypothetical protein,WP_039755425.1
M744_RS00590,CP006471,111674,113272,+,gene116,protein_coding,M744_00620,2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase,WP_011243361.1
M744_RS00595,CP006471,113293,113532,+,gene117,protein_coding,M744_00625,preprotein translocase subunit SecG,WP_011243362.1
M744_RS00600,CP006471,113501,114334,+,gene118,protein_coding,M744_00630,peptidase,WP_011243363.1
M744_RS00605,CP006471,114251,116500,-,gene119,protein_coding,M744_00635,UDP-glucose-beta-D-glucan glucosyltransferase,WP_011243364.1
M744_RS00610,CP006471,116590,117315,+,gene120,protein_coding,M744_00640,DUF4079 domain-containing protein,WP_011243365.1
M744_RS00615,CP006471,117458,117799,+,gene121,protein_coding,M744_00645,YbaB/EbfC family nucleoid-associated protein,WP_011243366.1
M744_RS00620,CP006471,117890,118381,+,gene122,protein_coding,M744_00650,low molecular weight phosphotyrosine protein phosphatase,WP_011377586.1
M744_RS00625,CP006471,118381,118968,+,gene123,protein_coding,M744_00655,DUF924 domain-containing protein,WP_011243368.1
M744_RS00630,CP006471,119025,119462,+,gene124,protein_coding,M744_00660,hypothetical protein,WP_011243369.1
M744_RS00635,CP006471,119559,120032,+,gene125,protein_coding,M744_00665,N-acetyltransferase,WP_011243370.1
M744_RS00640,CP006471,120172,121281,+,gene126,protein_coding,M744_00670,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase,WP_011243371.1
M744_RS00645,CP006471,121287,122123,+,gene127,protein_coding,M744_00675,S-formylglutathione hydrolase,WP_011243372.1
M744_RS00650,CP006471,122159,122776,-,gene128,protein_coding,M744_00680,hypothetical protein,WP_011243373.1
M744_RS13625,CP006471,122992,123129,-,gene129,protein_coding,M744_00685,photosystem II reaction center protein K,WP_006195022.1
M744_RS00655,CP006471,123183,124337,-,gene130,protein_coding,M744_00690,tRNA guanosine(34) transglycosylase Tgt,WP_011377585.1
M744_RS00660,CP006471,124366,125121,+,gene131,protein_coding,M744_00695,adenosylcobinamide-GDP ribazoletransferase,WP_011243375.1
M744_RS00665,CP006471,125102,126316,-,gene132,protein_coding,M744_00700,sensor histidine kinase,WP_011377584.1
M744_RS00670,CP006471,126502,126939,+,gene133,protein_coding,M744_00705,DUF3155 domain-containing protein,WP_011243377.1
M744_RS00675,CP006471,127039,127668,-,gene134,protein_coding,M744_00710,esterase,WP_011243378.1
M744_RS00680,CP006471,128043,128288,+,gene135,protein_coding,M744_00715,NifU family protein,WP_011243379.1
M744_RS00685,CP006471,128377,129663,+,gene136,protein_coding,M744_00720,serine--tRNA ligase,WP_011243380.1
M744_RS00690,CP006471,129710,130804,+,gene137,protein_coding,M744_00725,RIP metalloprotease RseP,WP_011243381.1
M744_RS00695,CP006471,130801,131487,+,gene138,protein_coding,M744_00730,endonuclease III,WP_011243382.1
M744_RS00700,CP006471,131517,131819,+,gene139,protein_coding,M744_00735,30S ribosomal protein S14,WP_011243383.1
M744_RS00705,CP006471,131900,132955,+,gene140,protein_coding,M744_00740,ABC transporter permease,WP_011243384.1
M744_RS00710,CP006471,133298,133981,+,gene141,protein_coding,M744_00745,hypothetical protein,WP_011243385.1
M744_RS00715,CP006471,134021,135262,+,gene142,protein_coding,M744_00750,S-layer homology domain-containing protein,WP_011243386.1
M744_RS00720,CP006471,135387,136880,-,gene143,protein_coding,M744_00755,ammonium transporter,WP_011377582.1
M744_RS00725,CP006471,137147,137815,-,gene144,protein_coding,M744_00760,5-(carboxyamino)imidazole ribonucleotide mutase,WP_011243388.1
M744_RS00730,CP006471,137775,138992,+,gene145,protein_coding,M744_00765,N-acetylglucosamine-6-phosphate deacetylase,WP_011243389.1
M744_RS00735,CP006471,139038,139727,+,gene146,protein_coding,M744_00770,magnesium protoporphyrin IX methyltransferase,WP_011243390.1
M744_RS00740,CP006471,140309,140875,-,gene147,protein_coding,M744_00775,glutathione peroxidase,WP_011377579.1
M744_RS00745,CP006471,140892,141128,-,gene148,pseudogene,,hypothetical protein,0
M744_RS00750,CP006471,141188,141493,-,gene149,protein_coding,M744_00785,hypothetical protein,WP_011243392.1
M744_RS00755,CP006471,141508,142263,-,gene150,protein_coding,M744_00790,TIGR03943 family protein,WP_011243393.1
M744_RS00760,CP006471,142274,143281,-,gene151,protein_coding,M744_00795,permease,WP_011243394.1
M744_RS00765,CP006471,143354,143427,+,gene152,tRNA,M744_00800,,
M744_RS00770,CP006471,143498,144706,-,gene153,protein_coding,M744_00805,hypothetical protein,WP_011377578.1
M744_RS00775,CP006471,145093,145791,-,gene154,protein_coding,M744_00810,D-alanyl-D-alanine dipeptidase,WP_011243396.1
M744_RS00780,CP006471,145781,147049,-,gene155,protein_coding,M744_00815,NAD(P)/FAD-dependent oxidoreductase,WP_011377577.1
M744_RS00785,CP006471,147046,148956,-,gene156,protein_coding,M744_00820,1-deoxy-D-xylulose-5-phosphate synthase,WP_011377576.1
M744_RS00790,CP006471,149055,149657,+,gene157,protein_coding,M744_00825,hypothetical protein,WP_011243399.1
M744_RS00795,CP006471,149728,151356,+,gene158,protein_coding,M744_00830,citramalate synthase,WP_011243400.1
M744_RS00800,CP006471,151387,152235,+,gene159,protein_coding,M744_00835,heme ABC exporter ATP-binding protein CcmA,WP_011243401.1
M744_RS00805,CP006471,152252,152803,+,gene160,protein_coding,M744_00840,SMC-Scp complex subunit ScpB,WP_011243402.1
M744_RS00810,CP006471,152897,153274,+,gene161,protein_coding,M744_00845,DUF760 domain-containing protein,WP_011243403.1
M744_RS00815,CP006471,153383,154465,-,gene162,protein_coding,M744_00850,photosystem I reaction center subunit IX,WP_011243404.1
M744_RS00820,CP006471,154724,154942,+,gene163,protein_coding,M744_00855,hypothetical protein,WP_011243405.1
M744_RS00825,CP006471,155049,156191,-,gene164,protein_coding,M744_00860,hypothetical protein,WP_011243406.1
M744_RS00830,CP006471,156392,156790,+,gene165,protein_coding,M744_00865,MAPEG family protein,WP_011377574.1
M744_RS00835,CP006471,156822,158387,+,gene166,protein_coding,M744_00870,hypothetical protein,WP_011377573.1
M744_RS00840,CP006471,158435,159397,+,gene167,protein_coding,M744_00875,biotin synthase,WP_011243409.1
M744_RS00845,CP006471,159494,159844,-,gene168,protein_coding,M744_00880,DUF1257 domain-containing protein,WP_011243410.1
M744_RS00850,CP006471,159979,161487,-,gene169,protein_coding,M744_00885,ATPase AAA,WP_011243411.1
M744_RS00855,CP006471,161566,161949,-,gene170,protein_coding,M744_00890,hypothetical protein,WP_011377572.1
M744_RS00860,CP006471,162193,163170,+,gene171,protein_coding,M744_00895,pentapeptide repeat-containing protein,WP_011243413.1
M744_RS00865,CP006471,163150,164322,-,gene172,protein_coding,M744_00900,hypothetical protein,WP_011377571.1
M744_RS00870,CP006471,164494,164781,-,gene173,protein_coding,M744_00905,hypothetical protein,WP_039755443.1
M744_RS00875,CP006471,164774,164986,+,gene174,protein_coding,M744_00910,NAD(P)H-quinone oxidoreductase,WP_039755866.1
M744_RS00880,CP006471,164987,165316,+,gene175,protein_coding,M744_00915,DUF3007 domain-containing protein,WP_011243416.1
M744_RS00885,CP006471,165347,166147,+,gene176,protein_coding,M744_00920,tryptophan synthase subunit alpha,WP_011243417.1
M744_RS00890,CP006471,166316,166588,+,gene177,protein_coding,,BrnT family toxin,WP_011243418.1
M744_RS00895,CP006471,166590,166874,+,gene178,protein_coding,M744_00930,ribbon-helix-helix protein%2C CopG family,WP_011377569.1
M744_RS00900,CP006471,166917,167570,-,gene179,protein_coding,M744_00935,N-(5'-phosphoribosyl)anthranilate isomerase,WP_011377568.1
M744_RS00905,CP006471,167667,167909,+,gene180,protein_coding,M744_00945,photosystem I reaction center subunit PsaK,WP_011243420.1
M744_RS00910,CP006471,167984,168385,-,gene181,protein_coding,M744_00950,DUF4168 domain-containing protein,WP_011243421.1
M744_RS00915,CP006471,168470,169468,-,gene182,protein_coding,M744_00955,DNA polymerase III subunit delta,WP_011377567.1
M744_RS00920,CP006471,169688,170743,+,gene183,protein_coding,M744_00960,peptide chain release factor 2,WP_071818108.1
M744_RS00925,CP006471,170761,170940,+,gene184,protein_coding,M744_00965,DUF3285 domain-containing protein,WP_011243424.1
M744_RS00930,CP006471,170942,171466,+,gene185,protein_coding,M744_00970,endoribonuclease YbeY,WP_011243425.1
M744_RS00935,CP006471,172607,173092,+,gene186,protein_coding,M744_00975,diacylglycerol kinase,WP_011243426.1
M744_RS00940,CP006471,173157,173759,+,gene187,protein_coding,M744_00980,type 1 glutamine amidotransferase,WP_011243427.1
M744_RS00945,CP006471,173793,174545,+,gene188,protein_coding,M744_00985,hypothetical protein,WP_011243428.1
M744_RS00950,CP006471,174890,175348,-,gene189,protein_coding,M744_00990,DUF4079 domain-containing protein,WP_011243429.1
M744_RS00955,CP006471,175415,176806,-,gene190,protein_coding,M744_00995,flagellar biosynthesis protein FlgM,WP_011377565.1
M744_RS00960,CP006471,176844,178385,-,gene191,protein_coding,M744_01000,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/inosine monophosphate cyclohydrolase,WP_011377564.1
M744_RS00965,CP006471,178720,179844,-,gene192,protein_coding,M744_01005,hypothetical protein,WP_011377563.1
M744_RS00970,CP006471,180118,180984,+,gene193,protein_coding,M744_01010,phosphatidate cytidylyltransferase,WP_011243433.1
M744_RS00975,CP006471,180981,181661,-,gene194,protein_coding,M744_01015,DUF2993 domain-containing protein,WP_011377562.1
M744_RS00980,CP006471,181810,182988,+,gene195,protein_coding,M744_01020,murein transglycosylase,WP_011377561.1
M744_RS00985,CP006471,183213,184793,+,gene196,protein_coding,M744_01025,hypothetical protein,WP_011243436.1
M744_RS00990,CP006471,184884,186035,+,gene197,protein_coding,M744_01030,chromate transporter,WP_011243437.1
M744_RS00995,CP006471,186053,186253,-,gene198,protein_coding,M744_01035,hypothetical protein,WP_039755448.1
M744_RS01000,CP006471,186347,187468,+,gene199,protein_coding,M744_01040,glycosyltransferase family 1 protein,WP_011377559.1
M744_RS01005,CP006471,187437,187943,-,gene200,protein_coding,M744_01045,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE,WP_011243439.1
M744_RS01010,CP006471,187948,189357,-,gene201,protein_coding,M744_01050,YvcK family protein,WP_011243440.1
M744_RS01015,CP006471,189770,191017,+,gene202,protein_coding,M744_01055,geranylgeranyl reductase,WP_039755450.1
M744_RS01020,CP006471,191101,191811,+,gene203,protein_coding,M744_01060,hypothetical protein,WP_011377558.1
M744_RS01025,CP006471,191890,192576,+,gene204,protein_coding,M744_01065,hypothetical protein,WP_011377557.1
M744_RS01030,CP006471,192616,192882,+,gene205,protein_coding,M744_01070,TM2 domain-containing protein,WP_011243444.1
M744_RS01035,CP006471,192992,193306,+,gene206,protein_coding,M744_01075,DUF2752 domain-containing protein,WP_011377556.1
M744_RS01040,CP006471,193319,193525,+,gene207,protein_coding,M744_01080,hypothetical protein,WP_039755453.1
M744_RS01045,CP006471,193510,194553,-,gene208,protein_coding,M744_01085,DUF3086 domain-containing protein,WP_011243446.1
M744_RS01050,CP006471,194575,194958,-,gene209,protein_coding,M744_01090,DUF3119 domain-containing protein,WP_011377555.1
M744_RS01055,CP006471,195012,195806,-,gene210,protein_coding,M744_01095,ABC transporter permease,WP_011243448.1
M744_RS01060,CP006471,196132,196470,+,gene211,protein_coding,M744_01100,hypothetical protein,WP_011243449.1
M744_RS01065,CP006471,196471,197997,+,gene212,protein_coding,M744_01105,insulinase family protein,WP_011377554.1
M744_RS01070,CP006471,197994,199409,+,gene213,protein_coding,M744_01110,insulinase family protein,WP_011243451.1
M744_RS01075,CP006471,199764,200048,+,gene214,protein_coding,M744_01115,hypothetical protein,WP_011377553.1
M744_RS01080,CP006471,200314,201600,+,gene215,protein_coding,M744_01120,hypothetical protein,WP_011377552.1
M744_RS13630,CP006471,201485,202285,-,gene216,protein_coding,,hypothetical protein,WP_011377551.1
M744_RS01090,CP006471,202323,203222,-,gene217,protein_coding,M744_01130,homoserine O-succinyltransferase,WP_011377550.1
M744_RS01095,CP006471,203271,204575,-,gene218,protein_coding,M744_01135,O-acetylhomoserine aminocarboxypropyltransferase,WP_011243455.1
M744_RS01100,CP006471,204737,206191,-,gene219,protein_coding,M744_01140,FAD-dependent oxidoreductase,WP_011377549.1
M744_RS01105,CP006471,206275,207627,-,gene220,protein_coding,M744_01145,exodeoxyribonuclease VII large subunit,WP_011377548.1
M744_RS01110,CP006471,207648,208571,+,gene221,protein_coding,M744_01155,bile acid:sodium symporter family protein,WP_011377547.1
M744_RS01115,CP006471,208606,210789,-,gene222,protein_coding,M744_01160,sulfate transporter,WP_011243459.1
M744_RS01120,CP006471,211033,211662,-,gene223,protein_coding,M744_01170,response regulator,WP_011243460.1
M744_RS01125,CP006471,211922,212473,-,gene224,protein_coding,M744_01175,phycobiliprotein lyase,WP_011243461.1
M744_RS01130,CP006471,212545,212829,-,gene225,protein_coding,M744_01180,hypothetical protein,WP_011377546.1
M744_RS01135,CP006471,212855,213454,-,gene226,protein_coding,M744_01185,DUF3177 domain-containing protein,WP_011243463.1
M744_RS01140,CP006471,213579,213806,-,gene227,protein_coding,M744_01190,hypothetical protein,WP_011243464.1
M744_RS01145,CP006471,214039,215235,+,gene228,protein_coding,M744_01200,hypothetical protein,WP_011243465.1
M744_RS01150,CP006471,215131,216312,-,gene229,protein_coding,M744_01205,metallophosphoesterase,WP_011377545.1
M744_RS01155,CP006471,216388,217029,+,gene230,protein_coding,M744_01210,tRNA (guanosine(46)-N7)-methyltransferase TrmB,WP_011243467.1
M744_RS01160,CP006471,217060,218463,+,gene231,protein_coding,M744_01215,putative bicarbonate transporter%2C IctB family,WP_011243468.1
M744_RS01165,CP006471,218370,218747,+,gene232,protein_coding,M744_01220,hypothetical protein,WP_039755464.1
M744_RS01170,CP006471,219192,219416,+,gene233,protein_coding,M744_01230,DUF751 domain-containing protein,WP_011243469.1
M744_RS01175,CP006471,219468,219881,+,gene234,protein_coding,M744_01235,ribosome-binding factor A,WP_011243470.1
M744_RS01180,CP006471,219878,221506,+,gene235,protein_coding,M744_01240,beta-glucosidase,WP_011377544.1
M744_RS01185,CP006471,221906,222868,-,gene236,protein_coding,M744_01245,bile acid:sodium symporter family protein,WP_011377543.1
